ID,Question,Type,Multiple Correct Answers,Option 1,Is Correct,Option 2,is_correct_2,Option 3,is_correct_3,Option 4,is_correct_4,Possible Answer 1,Possible Answer 3,Possible Answer 2,Possible Answer 4
12,"<p><span style=""color: rgb(58, 58, 58);"">The user management page is available on click of:</span></p>",Choices,0, Master Data Management,0, Organization Management,1, License Management,0, Custom Mobile Application,0,,,,
13,"<p><span style=""color: rgb(58, 58, 58);"">Once a role is created:</span></p>",Choices,0,Can be mapped to the new or existing users,1, Cannot be mapped to any user,0, It will get applied to all users automatically,0,,0,,,,
14,"<p><span style=""color: rgb(58, 58, 58);"">The roles page lists:</span></p>",Choices,1, All the roles available in the Organization,1, Only the specific role of the logged in user,0, Only the specific role created by the user,1,,0,,,,
15,"<p><span style=""color: rgb(58, 58, 58);"">A role can be created in the system by clicking on:</span></p>",Choices,0, Master Data Management,0, License Management,0,Organization Management,1, Configuration Management,0,,,,
16,"<p><span style=""color: rgb(58, 58, 58);"">Select Box is:</span></p>",Choices,0, Used to add the data in checked format,1, Single Select dropdown,0, Multiselect dropdown,0,,0,,,,
17,"<p><span style=""color: rgb(58, 58, 58);"">The following component is used to create an expandable/collapsible layout:</span></p>",Choices,0, Field Set,0, Panel,1,Column,0, Tab,0,,,,
18,"<p><span style=""color: rgb(58, 58, 58);"">Decimal Component is used to store:</span></p>",Choices,0, Alphanumeric Values,0, Numeric Values,0,Boolean Values,0, None of the Above,1,,,,
19,"<p><span style=""color: rgb(58, 58, 58);"">New Form can be created from:</span></p>",Choices,0,Action Panel,0, Secondary Navigation,1, Header,0, Footer,0,,,,
20,"<p><span style=""color: rgb(58, 58, 58);"">Select component is:</span></p>",Choices,0, Multiselect dropdown,0, Dropdown,1, Search Bar,0, None of the above,0,,,,
21,"<p><span style=""color: rgb(58, 58, 58);"">Text Area is used to store:</span></p>",Choices,0, Single line of text,0, A paragraph of text,1, Date,0, All of the Above,0,,,,
22,"<p><span style=""color: rgb(58, 58, 58);"">Radio component is used:</span></p>",Choices,1, When there are more values and we need to more than one of them,1,When there are more values and we need to select one of them,1,,0,,0,,,,
23,"<p><span style=""color: rgb(58, 58, 58);"">Forms are mapped to this activity in the process flow:</span></p>",Choices,0, Task Node,1, DB Node,0,Email Node,0,Meeting Request Node,0,,,,
24,"<p><span style=""color: rgb(58, 58, 58);"">In column layout component:</span></p>",Choices,0,The width is fixed,0,The width is configurable,1,,0,,0,,,,
25,"<p><span style=""color: rgb(58, 58, 58);"">Password Component displays:</span></p>",Choices,0,Masked Information,1,Unmasked text,0,,0,,0,,,,
26,"<p><span style=""color: rgb(58, 58, 58);"">Insert is used to:</span></p>",Choices,0, Update existing row in the table,0,Add a new row of data in the table,1, Delete row of data from the table,0,,0,,,,
27,"<p><span style=""color: rgb(58, 58, 58);"">Email Activity is used:</span></p>",Choices,0,To send an email,1, Read an email,0,Store a document,0,,0,,,,
28,"<p><span style=""color: rgb(58, 58, 58);"">The import button to import a process flow is available in the:</span></p>",Choices,0, Process Flow Designer,0,Process Flow Page,1,Action Panel,0, None of the Above,0,,,,
29,"<p><span style=""color: rgb(58, 58, 58);"">The process flow will be in the following format:</span></p>",Choices,0, .jpg,0, .png,0, .pkg,1, .sql,0,,,,
30,"<p><span style=""color: rgb(58, 58, 58);"">In app studio the process flow menu is displayed in:</span></p>",Choices,0, Action Panel,0, Secondary Navigation,1, Header,0, Footer,0,,,,
31,"<p><span style=""color: rgb(58, 58, 58);"">Option to create an email entity is available in the:</span></p>",Choices,0, Header,0,Footer,0,Secondary Navigation,1, Action Panel,0,,,,
32,"<p><span style=""color: rgb(58, 58, 58);"">The following business entity is used to create a query:</span></p>",Choices,0, Decision Table,0, Java,0, Database Scripts,1, Forms,0,,,,
33,"<p><span style=""color: rgb(58, 58, 58);"">Red Color on the dropped activity indicates:</span></p>",Choices,0, Mandatory Configuration is not done,1,Process Flow is not deployed,0, Process Flow is not validated,0,,0,,,,
34,"<p><span style=""color: rgb(58, 58, 58);"">For a task activity it is mandatory to configure:</span></p>",Choices,0,Participant,0,Form,0,Basic section,0,Both Participant and Form,1,,,,
35,"<p><span style=""color: rgb(58, 58, 58);"">The email ids can be taken from the following:</span></p>",Choices,0, Variables,0, Participants,0,Manual Entry,0,All of the above,1,,,,
36,"<p><span style=""color: rgb(58, 58, 58);"">Output variable:</span></p>",Choices,0, Holds output data extracted from select,0,Is used for anyother logics in the system,0, Both,1,,0,,,,
37,"<p><span style=""color: rgb(58, 58, 58);"">Update is used to:</span></p>",Choices,0,Update existing row in the table,1, Add a new row of data in the table,0, Delete row of data from the table,0,,0,,,,
38,"<p><span style=""color: rgb(58, 58, 58);"">Select is used to:</span></p>",Choices,0,Query certain data from the table,1,Save data into table,0, Delete data from the table,0,,0,,,,
39,"<p><span style=""color: rgb(58, 58, 58);"">When an activity is dragged and dropped on to the designer the configurations can be done from:</span></p>",Choices,0, Secondary Navigation,0,Activity Panel,0, Header,0,Info Actions Panel,1,,,,
40,"<p>Can there be multiple SLAs for a start activity?</p><p style=""text-align: left;""></p><ul><li><p><strong><br></strong></p></li></ul>",Choices,0, Yes,1, No,0,,0,,0,,,,
41,"<p><span style=""color: rgb(58, 58, 58);"">Within a process flow module the following is true:</span></p>",Choices,0, Local email entity can be created,0,Global email entity can be created,0,Both,1,,0,,,,
42,"<p><span style=""color: rgb(58, 58, 58);"">Task activity is used to configure:</span></p>",Choices,1, Custom JSP forms,0,HTML forms,1,Both,1,,0,,,,
43,"<p>Process flow is designed in the:</p><p style=""text-align: left;""></p><ul><li><p><br></p></li></ul>",Choices,0, Activity Panel,0,Design Canvas,1, Action Panel,0,,0,,,,
44,"<p><span style=""color: rgb(58, 58, 58);"">SLA is defined in the start activity</span></p>",Choices,0,To trigger an email on process start,0, To define the action that needs to be taken by the system if a process is not started on time,1, To read a mail and trigger a process,0,,0,,,,
45,"<p><span style=""color: rgb(58, 58, 58);"">Can an email be triggered based on a rule?</span></p>",Choices,0,Yes,1, No,0,,0,,0,,,,
46,"<p><span style=""color: rgb(58, 58, 58);"">CSS and JS entities are used for:</span></p>",Choices,0,Front end customization,1,Backend Customization,0,API integration,0,,0,,,,
47,"<p><span style=""color: rgb(58, 58, 58);"">Process Flow is used to create:</span></p>",Choices,0, Workflow to achieve specific goals,1, Manage High Speed streaming data,0,Manage Batch Data,0,To build a Machine Learning Module,0,,,,
48,"<p><span style=""color: rgb(58, 58, 58);"">In App-Studio the following can be done: </span></p>",Choices,0,Creating Application,0, Creating process flow,0, Creating Data Flow,0,All of the above,1,,,,
49,"<p><span style=""color: rgb(58, 58, 58);"">The Business Entity Participant comprises:</span></p>",Choices,0,Users,0,Roles,0, Either User or Role,0, Combination of Both,1,,,,
50,"<p><span style=""color: rgb(58, 58, 58);"">In an application the design time permissions can be set based on:</span></p>",Choices,0,User,0, Role,0, User and Role,1,By default for all users,0,,,,
51,"<p><span style=""color: rgb(58, 58, 58);"">Email entity is used to:</span></p>",Choices,0, Send out emails,1,Save information to database,0, Read emails,0, All of the above,0,,,,
52,"<p><span style=""color: rgb(58, 58, 58);"">EIQ Platform enables:</span></p>",Choices,0," Citizen users can easily build secure, scalable end to end applications",1, Cannot be used by Citizen Users,0, Citizen users cannot build end to end application,0,,0,,,,
53,"<p><span style=""color: rgb(58, 58, 58);"">The term hyperautomation was coined by?</span></p>",Choices,0, Gartner,1,Siemens,0,IBM,0, None of the Above,0,,,,
54,"<p><span style=""color: rgb(58, 58, 58);"">EIQ platform offers:</span></p>",Choices,1,No Hyperautomation,0,End to end Hyperautomation,1,Partial Hyperautomation,0,,0,,,,
55,"<p><span style=""color: rgb(58, 58, 58);"">Using EIQ platform would result in</span></p>",Choices,0, Overheads of Multiple Licenses,0,High Running Cost,0, Expensive Maintenance Cost,0,None of the Above,1,,,,
56,"<p><span style=""color: rgb(58, 58, 58);"">EIQ platform has connected to following messaging platforms:</span></p>",Choices,0, Apache Kafka,0, Apache AMQ,0, RABBIT MQ,0,All of the Above,1,,,,
