ID,Question,Type,Multiple Correct Answers,Option 1,Is Correct,Option 2,is_correct_2,Option 3,is_correct_3,Option 4,is_correct_4,Possible Answer 1,Possible Answer 3,Possible Answer 2,Possible Answer 4,,
QTS-2025-36,"<p><span style=""color: rgb(58, 58, 58);"">How is the user profile image dynamically loaded in template?</span></p>",Choices,0,It is hardcoded as a fixed image,0,It is fetched using JavaScript later,0,It is dynamically set using ${platform.user.profile_icon},1,It is retrieved from local storage,0,,,,,,3
QTS-2025-37,"<p><span style=""color: rgb(58, 58, 58);"">How to use images in themes and templates?</span></p>",Choices,0,Using global variables,1,Uploading to the resource library and using the path,0,Using global variables and Uploading to the resource library and using the path,0,None of the above,0,,,,,,3
QTS-2025-38,"<p><span style=""color: rgb(58, 58, 58);"">What configurations must be added by default in the Manage Section?</span></p>",Choices,0,"SMTP, DS, LDAP",1,"Organization Calendar, SMTP, DS",0,"Organization Calendar, SMTP, DS, DMS",0,"Organization Calendar, SMTP, DS, DMS, LDAP",0,,,,,,3
QTS-2025-39,"<p><span style=""color: rgb(58, 58, 58);"">What is the Datasource Type provided by default in EIQ Dataflow?</span></p>",Choices,0,MS SQL,0,PostgreSQL,0,RDBMS,0,Databricks,1,,,,,,4
QTS-2025-40,"<p><span style=""color: rgb(58, 58, 58);"">Can EIQ Event Flows listen to the events published on Google Cloud topics?</span></p>",Choices,0,Yes,1,No,0,,0,,0,,,,,,1
QTS-2025-41,"<p><span style=""color: rgb(58, 58, 58);"">Custom Activity is an activity -</span></p>",Choices,0,That must be created under Manage Configuration,0,That must be created by providing field config structure in JSON,0,That must be created providing functionality in node handlers,1,All the above,0,,,,,,4
QTS-2025-42,"<p><span style=""color: rgb(58, 58, 58);"">EIQ General user Access Permissions allows user to</span></p>",Choices,1,Access EIQ Manage configurations,0,Access Page Role permissions,1,Access only General User Role specific pages,1,All the above,0,,,,,,3
QTS-2025-43,"<p><span style=""color: rgb(58, 58, 58);"">Process Instances under Application Management provide information on</span></p>",Choices,0,Instance status,0,Variable listing with set values for a particular instance,1,Activity status shown on read only designer view,0,All the above,0,,,,,,4
QTS-2025-44,"<p><span style=""color: rgb(58, 58, 58);"">How can EIQ RPA be extended for custom functionalities?</span></p>",Choices,0,Through plugins and custom .NET libraries,0,Only by modifying the source code,1,By using Python scripts exclusively,0,Extensions are not supported,0,,,,,,1
QTS-2025-45,"<p><span style=""color: rgb(58, 58, 58);"">Which protocol does the EIQ Platform use for communication for RPA Studio &amp; Agent?</span></p>",Choices,0,HTTP,1,WebSockets,0,FTP,0,MQTT,0,,,,,,2
QTS-2025-46,"<p><span style=""color: rgb(58, 58, 58);"">Which of the following best describes EIQ RPA’s execution model?</span></p>",Choices,0,Fully cloud-based execution,1,Serverless execution with local workflows,0,Hybrid execution using EIQ Platform for orchestration,0,Execution limited to Windows environments,0,,,,,,3
QTS-2025-47,"<p><span style=""color: rgb(58, 58, 58);"">EIQ RPA workflows are designed using which framework?</span></p>",Choices,0,Windows Workflow Foundation (WF),1,Apache Airflow,0,Robotic Process Framework (RPF),0,Camunda BPM,0,,,,,,1
QTS-2025-48,"<p><span style=""color: rgb(58, 58, 58);"">What is the primary function of EIQ Platform in EIQ RPA?</span></p>",Choices,0,Provides UI elements for designing workflows,0,Handles distributed execution and scheduling of bots,0,Acts as a database storage layer,0,Encrypts workflows for security,1,,,,,,2
QTS-2025-49,"<p><span style=""color: rgb(58, 58, 58);"">Which of the following is NOT a valid EIQ RPA activity type?</span></p>",Choices,0,Image Recognition,0,Browser Automation,0,Blockchain Transaction Execution,0,OCR Processing,1,,,,,,3
QTS-2025-50, ,Choices,0,By storing versions in EIQ Platform,0,Through built-in Git integration,0,By automatically saving all versions in XML format,1,It does not support versioning,0,,,,,,1
QTS-2025-51,,Choices,0,,1,,0,,0,,0,,,,,,
QTS-2025-52,,Choices,0,,1,,0,,0,,0,,,,,,
QTS-2025-53,,Choices,0,,1,,0,,0,,0,,,,,,
QTS-2025-54,,Choices,1,,0,,1,,0,,0,,,,,,
QTS-2025-55,,Choices,0,,0,,0,,0,,1,,,,,,
QTS-2025-56,,Choices,0,,0,,0,,0,,1,,,,,,
